movie_title,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,gross,title_year,num_voted_users,plot_keywords,num_user_for_reviews,budget,genres
The Express ,86,130,39,2000,898,534,9589875,2008,16673,african american|coach|football movie|nonlinear timeline|syracuse university,45,40000000,Biography|Drama|Sport
The 5th Wave ,194,112,5,17000,1000,724,34912982,2016,55617,alien|attack|based on novel|based on young adult novel|fear,266,38000000,Action|Adventure|Sci-Fi|Thriller
Creed ,437,133,0,13000,597,531,109712885,2015,146708,boxing|boxing match|fight|montage|philadelphia,362,35000000,Drama|Sport
The Town ,378,150,0,10000,4000,206,92173235,2010,280228,bank manager|bank robbery|criminal gang|heist|prison,420,37000000,Crime|Drama|Thriller
What to Expect When You're Expecting ,170,110,52,10000,2000,651,41102171,2012,57266,baby|expecting twins|hawaiian shirt|photographer|pregnancy,89,40000000,Comedy|Drama|Romance
Burn After Reading ,341,96,1000,24000,11000,681,60338891,2008,248468,cia|divorce|embassy|gym|memoir,545,37000000,Comedy|Drama
Nim's Island ,139,96,3,18000,82,35,48006503,2008,28109,author|girl|island|reading|scientist,110,37000000,Adventure|Comedy|Family|Fantasy
Rush ,393,123,2000,26000,10000,471,26903709,2013,312629,1970s|female rear nudity|formula 1|rivalry|sex with a nurse,475,38000000,Action|Biography|Drama|Sport
Magnolia ,224,188,0,786,625,272,22450975,1999,241030,abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline,1437,37000000,Drama
Cop Out ,203,107,0,13000,642,574,44867349,2010,75347,baseball card|detective|partner|thief|wedding,176,37000000,Action|Comedy|Crime
How to Be Single ,148,110,11,2000,756,591,46813366,2016,39440,motor scooter|new york city|newborn baby|scooter|single,83,38000000,Comedy|Romance
Dolphin Tale ,131,113,188,11000,680,631,72279690,2011,17948,boy|dolphin|prosthetics|tail|trap,86,37000000,Drama|Family
Twilight ,350,122,308,17000,12000,10000,191449475,2008,348007,blood|high school|love|school|vampire,1535,37000000,Drama|Fantasy|Romance
John Q ,129,116,415,18000,669,644,71026631,2002,98899,health care|heart transplant|hospital|hostage|insurance,394,36000000,Crime|Drama|Thriller
Blue Streak ,40,93,10,789,744,405,68208190,1999,60572,detective|diamond|jewel|police|thief,144,65000000,Action|Comedy|Crime|Thriller
We're the Millers ,289,118,43,740,707,651,150368971,2013,316671,fake family|male frontal nudity|marijuana|mexico|stripper,301,37000000,Comedy|Crime
Obitaemyy ostrov ,14,115,35,463,35,30,,2009,4387,22nd century|first part|friend|guard|space opera,21,29500000,Action|Adventure|Sci-Fi
Breakdown ,72,93,84,551,284,263,50129186,1997,38399,car breakdown|diner|jeep|paranoia|violence,218,36000000,Action|Crime|Drama|Mystery|Thriller
Never Say Never Again ,89,121,883,180,172,133,55500000,1983,48636,british|character says now that you're on the case i hope we're going to have some gratuitous sex and violence|cruise missile|missile|nuclear warhead,214,36000000,Action|Adventure|Thriller
Hot Tub Time Machine ,265,101,38,496,390,318,50213619,2010,139184,cheating wife|drug reference|maintenance man|male vomiting|promiscuous woman,243,36000000,Comedy|Sci-Fi
Dolphin Tale 2 ,54,107,188,11000,641,631,42019483,2014,6069,dolphin|latex gloves|medical scrubs|purple gloves|turtle,33,36000000,Drama|Family
Reindeer Games ,126,124,287,9000,1000,475,23360779,2000,31113,casino|christmas|christmas season|girlfriend|release from prison,212,34000000,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller
A Man Apart ,110,109,473,14000,919,582,26183197,2003,38348,bust|dea|drug cartel|justice|tragic hero,135,36000000,Action|Crime|Drama|Thriller
Aloha ,138,105,488,15000,14000,13000,20991497,2015,39778,box office flop|critically bashed|hawaii|one word title|written by director,172,37000000,Comedy|Drama|Romance
Ghosts of Mississippi ,31,130,0,2000,912,723,13052741,1996,8531,activist|assassin|civil rights|trial|widow,57,36000000,Drama|History
Snow Falling on Cedars ,95,127,96,746,602,577,14378353,1999,12375,fisherman|japanese|love|trial|washington state,194,36000000,Drama|Mystery|Romance|Thriller
The Rite ,267,114,101,12000,3000,2000,33037754,2011,75864,demon|exorcism|exorcist|faith|seminary,197,37000000,Drama|Horror|Mystery|Thriller
Gattaca ,175,106,487,685,485,263,12339633,1997,220591,accident|future|genetics|mission|police,641,36000000,Drama|Sci-Fi|Thriller
Isn't She Great ,63,95,31,944,886,450,2954405,2000,1977,autistic son|cancer|female protagonist|new york city|son,64,36000000,Biography|Comedy|Romance
Space Chimps ,85,81,16,541,521,387,30105968,2008,8860,astronaut|attacked by a plant|planet|senator|space travel,45,37000000,Adventure|Animation|Comedy|Family|Sci-Fi
Head of State ,44,95,0,1000,812,642,37788228,2003,15046,alderman|party|president|presidential candidate|washington d.c.,80,35200000,Comedy
The Hangover ,334,108,480,14000,839,706,277313371,2009,583341,drunkenness|female nudity|hangover|hedonism|morning after,626,35000000,Comedy
Ip Man 3 ,78,105,25,461,79,51,2126511,2015,21912,1950s|cancer|hong kong|martial arts school|wing chun,45,36000000,Action|Biography|Drama|History
Austin Powers: The Spy Who Shagged Me ,199,95,116,45000,645,481,205399422,1999,181225,penis joke|phallic image|sexy agent|spy|volcano hideout,784,33000000,Action|Adventure|Comedy|Crime
Batman ,186,126,13000,920,549,488,251188924,1989,269033,city|dc comics|gotham|pantyhose|police,817,35000000,Action|Adventure
There Be Dragons ,77,102,596,877,794,785,1068392,2011,3865,dying|forgiveness|saint|spanish civil war|starts with narration,53,36000000,Biography|Drama|War
Lethal Weapon 3 ,68,121,503,808,277,94,144731527,1992,128010,gangster|gun|internal affairs|police|police officer,136,35000000,Action|Crime|Thriller
The Blind Side ,261,129,102,768,734,624,255950375,2009,223127,american football|based on true story|football star|high school football|left tackle,420,29000000,Biography|Drama|Sport
Rush Hour             ,5,43,,778,618,452,,,2185,,30,,Action|Comedy|Crime
Spy Kids ,122,88,0,2000,843,640,112692062,2001,84325,brother sister relationship|espionage|rescue|secret agent|spy,205,35000000,Action|Adventure|Comedy|Family|Sci-Fi
Horrible Bosses ,340,106,91,18000,464,64,117528646,2011,353442,black comedy|boss|chemical company|dental assistant|murder,387,35000000,Comedy|Crime
True Grit ,493,110,1000,13000,12000,538,171031347,2010,240962,arkansas|murder|sheriff|texas ranger|u.s. marshal,724,38000000,Adventure|Drama|Western
The Devil Wears Prada ,208,109,64,11000,11000,505,124732962,2006,286178,fashion|fashion industry|magazine|new york city|publishing,631,35000000,Comedy|Drama|Romance
Star Trek: The Motion Picture ,134,143,338,12000,664,643,82300000,1979,63330,alien|space|space station|spacecraft|warp speed,405,35000000,Adventure|Mystery|Sci-Fi
Identity Thief ,275,120,91,4000,904,680,134455175,2013,97664,bounty hunter|credit card|cross country|identity|police,232,35000000,Comedy|Crime
Cape Fear ,120,128,17000,22000,1000,387,79100000,1991,127503,lawyer|neo noir|prison|rapist|southern gothic,261,35000000,Crime|Thriller
21 ,144,123,126,18000,5000,1000,81159365,2008,191470,based on true story|blackjack|card counting|gambling|massachusetts institute of technology,278,35000000,Crime|Drama|Thriller
Trainwreck ,332,129,0,492,392,213,110008260,2015,94241,actress playing herself|actress shares first name with character|fired from a job|male nudity|written by star,309,35000000,Comedy|Romance
Guess Who ,104,105,8,1000,358,278,67962333,2005,33887,argument|engagement|family relationships|love|undressing,160,35000000,Comedy|Romance
The English Patient ,116,162,333,14000,1000,362,78651430,1996,142067,church|english|flashback|nurse|patient,457,27000000,Drama|Romance|War
L.A. Confidential ,177,138,161,18000,398,210,64604977,1997,414219,1950s|call girl|corruption|murder|police detective,625,35000000,Crime|Drama|Mystery|Thriller
Sky High ,127,100,31,947,742,591,63939454,2005,61321,coming of age|friend|high school|sidekick|superpower,217,35000000,Adventure|Comedy|Family|Sci-Fi
In & Out ,83,90,0,19000,957,945,63826569,1997,32416,academy award|gay|high school|reporter|teacher,138,35000000,Comedy
Species ,97,108,79,900,759,25,60054449,1995,61018,alien|interspecies sex|scientist|sexual attraction|train,140,35000000,Action|Horror|Sci-Fi|Thriller
A Nightmare on Elm Street ,256,101,0,40000,852,574,26505000,1984,149285,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,668,1800000,Horror
The Cell ,225,109,763,812,551,311,61280963,2000,79877,coma|fbi|race against time|serial killer|strong female lead,677,33000000,Horror|Sci-Fi|Thriller
The Man in the Iron Mask ,83,132,130,29000,130,80,56876365,1998,125219,france|musketeer|three musketeers|twin|twin brother,244,35000000,Action|Adventure
Secretariat ,160,123,130,826,638,426,59699513,2010,20827,eccentric|horse racing|newspaper clipping|stallion|triple crown,136,35000000,Biography|Drama|Family|History|Sport
TMNT ,191,87,14,11000,4000,691,54132596,2007,53786,martial arts master|monster|new york city|turtle|warrior,211,34000000,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi
Radio ,74,109,19,1000,762,568,52277485,2003,32370,coach|football|football coach|high school|radio,196,35000000,Biography|Drama|Sport
Friends with Benefits ,238,109,87,15000,3000,923,55802754,2011,270228,blow job|female rear nudity|girl in panties|male objectification|no panties,194,35000000,Comedy|Romance
Neighbors 2: Sorority Rising ,177,92,89,17000,329,190,55291815,2016,28041,bare chested male|gay|gay best friend|gay man|gay marriage proposal,111,35000000,Comedy
Saving Mr. Banks ,405,125,102,15000,2000,825,83299761,2013,117719,author|disney|loss of father|reference to walt disney|suppression of emotion,306,35000000,Biography|Comedy|Drama|History|Music
Malcolm X ,61,202,0,18000,848,318,48169908,1992,63923,african american|black history|civil rights|ku klux klan|nation of islam,156,33000000,Biography|Drama|History|Romance
This Is 40 ,285,134,0,529,130,120,67523385,2012,104005,40th birthday|aging|birthday|sex|viagra,248,35000000,Comedy
Old Dogs ,124,88,12,49000,1000,931,49474048,2009,31191,best friend|business deal|impulse|public relations|twin,120,35000000,Comedy|Family
Underworld: Rise of the Lycans ,164,92,148,978,593,227,45802315,2009,119974,battle|slave|vampire|warrior|werewolf,169,35000000,Action|Adventure|Fantasy|Sci-Fi|Thriller
License to Wed ,120,91,42,49000,838,766,43792641,2007,32157,box office flop|church|kissing|usa|wedding,119,35000000,Comedy|Romance
The Benchwarmers ,90,75,221,11000,970,553,57651794,2006,40651,baseball|baseball team|bully|millionaire|team,209,33000000,Comedy|Romance|Sport
Must Love Dogs ,120,98,30,944,940,664,43894863,2005,25883,date|dating|dog|love|teacher,262,30000000,Comedy|Romance
Donnie Brasco ,117,147,179,40000,14000,646,41954997,1997,225122,fbi|mafia|money|racial slur|singer,234,35000000,Biography|Crime|Drama
Resident Evil ,226,100,545,14000,2000,766,39532308,2002,198701,amnesia|quarantine|special forces|virus|zombie,1138,33000000,Action|Horror|Sci-Fi
Poltergeist ,223,120,365,887,770,723,76600000,1982,105446,ghost|haunted|haunting|house|paranormal investigator,321,10700000,Fantasy|Horror
The Ladykillers ,193,104,1000,24000,15000,939,39692139,2004,84131,casino|irony of fate|landlady|professor|remake,400,35000000,Comedy|Crime|Thriller
Max Payne ,228,103,212,15000,552,248,40687294,2008,107772,corporation|death|ex partner|hallucination|police detective,398,35000000,Action|Crime|Drama|Mystery|Thriller
In Time ,360,109,487,20000,10000,3000,37553932,2011,304318,currency|future|murder|on the run|time,463,40000000,Action|Sci-Fi|Thriller
The Back-up Plan ,148,104,16,1000,700,584,37481242,2010,40654,artificial insemination|baby|cheese|chick flick|pet shop,97,35000000,Comedy|Romance
Something Borrowed ,128,112,42,969,826,196,39026186,2011,48019,best friend|crush|law school|lawyer|loud sex,153,35000000,Comedy|Drama|Romance
Hit the Floor             ,3,60,,897,637,628,,,1641,affair|hip hop|sex scene,11,,Drama|Romance
Black Knight ,46,95,19,1000,691,447,33422806,2001,30771,14th century|king|knight|sword duel|time travel,164,50000000,Adventure|Comedy|Fantasy
The Bad News Bears ,40,102,23,288,257,57,,1976,16323,baseball|california|coach|little league|swimming pool,91,,Comedy|Drama|Family|Sport
Street Fighter ,63,102,133,2000,1000,690,33423521,1994,53115,guile|hostage|ransom|soldier|united nations,282,35000000,Action|Adventure|Comedy|Thriller
The Pianist ,193,150,2000,396,338,95,32519322,2002,497946,ghetto|holocaust|jewish|piano|warsaw ghetto,761,35000000,Biography|Drama|War
From Hell ,208,122,117,40000,1000,140,31598308,2001,124765,freemason|jack the ripper|opium|prostitute|victorian era,541,35000000,Horror|Mystery|Thriller
The Nativity Story ,122,101,308,446,224,206,37617947,2006,8143,angel|bethlehem|journey|nazareth|virgin,203,30000000,Drama|Family|Fantasy
House of Wax ,228,108,174,730,716,324,32048809,2005,94456,brother sister relationship|group of friends|male nudity|twin|wax,576,30000000,Horror
Closer ,212,98,0,20000,8000,23,33987757,2004,168314,cheating wife|film camera|hasselblad camera|leica camera|medium format camera,903,27000000,Drama|Romance
J. Edgar ,392,137,16000,29000,6000,363,37304950,2011,102728,agent|fbi|federal bureau of investigation|gay relationship|secret,279,35000000,Biography|Crime|Drama
Mirrors ,208,112,192,1000,915,844,30691439,2008,86205,estranged wife|evil|fire|medication|mirror,232,35000000,Horror|Mystery
Queen of the Damned ,137,101,48,775,541,531,30307804,2002,43991,fatal attraction|interspecies romance|queen|supernatural power|vampire,695,35000000,Drama|Fantasy|Horror
Predator 2 ,119,103,81,2000,683,636,30669413,1990,105478,alien|drug lord|gang|hunter|predator,291,35000000,Action|Horror|Sci-Fi
Untraceable ,195,101,40,2000,648,398,28687835,2008,40964,cat|fbi agent|murder|serial killer|website,245,35000000,Crime|Drama|Thriller
Blast from the Past ,95,112,37,3000,874,480,26494611,1999,48621,1960s|bomb shelter|cuban missile crisis|food|naive man,239,35000000,Comedy|Drama|Romance|Sci-Fi
Flash Gordon ,100,111,24,591,488,455,,1980,38017,american football|cult film|emperor|flash gordon|mind reading,247,20000000,Action|Adventure|Sci-Fi
Jersey Girl ,164,102,0,939,854,769,25266129,2004,54346,baby|childbirth|death|karma|publicist,358,35000000,Comedy|Drama|Romance
Alex Cross ,211,101,357,907,445,374,25863915,2012,28257,assassin|detective|partner|police|serial killer,151,35000000,Action|Crime|Mystery|Thriller
Midnight in the Garden of Good and Evil ,91,155,16000,18000,461,229,25078937,1997,31751,graveyard|murder|murder trial|reporter|trial,216,30000000,Crime|Drama|Mystery|Thriller
Heist ,44,93,8,22000,1000,558,,2015,16193,bus|die hard scenario,57,19000000,Action|Crime|Thriller
Nanny McPhee Returns ,97,109,24,287,175,167,28995450,2010,19230,farm|magic|mother daughter relationship|overalls|title directed by female,59,35000000,Comedy|Family|Fantasy
Hoffa ,32,140,0,436,263,210,24276500,1992,17124,labor|labor union|leader|mafia|union,68,35000000,Biography|Crime|Drama
The X Files: I Want to Believe ,270,108,251,826,716,296,20981633,2008,78256,fbi|priest|psychic|psychic vision|staff physician,492,30000000,Drama|Mystery|Sci-Fi|Thriller
Ella Enchanted ,89,96,13,11000,1000,973,22913677,2004,47800,curse|fairy|obedience|prince|strong female character,244,35000000,Comedy|Family|Fantasy|Romance
Concussion ,219,123,15,10000,979,745,34531832,2015,44788,chronic traumatic encephalopathy|concussion|football|football player|pathologist,138,35000000,Biography|Drama|Sport
Abduction ,180,106,309,327,73,63,28064226,2011,65044,assassin|high school|on the run|teenager|website,173,35000000,Action|Mystery|Thriller
Valiant ,93,76,2,1000,766,72,19447478,2005,15788,dove|falcon|nursing|pigeon|psychological torture,80,35000000,Adventure|Animation|Comedy|Family|War
Wonder Boys ,173,107,161,21000,826,549,19389454,2000,54643,based on novel|college girl|midlife crisis|pittsburgh pennsylvania|professor,335,55000000,Comedy|Drama
Superhero Movie ,121,82,82,1000,642,418,25871834,2008,52052,dragonfly|hero|high school|soaking wet|supervillian origin,173,35000000,Action|Comedy|Sci-Fi|Thriller
Broken City ,298,109,90,1000,412,344,19692608,2013,63548,election|father son relationship|fellatio|gay slur|title spoken by character,134,35000000,Crime|Drama|Thriller
Cursed ,158,99,0,1000,573,520,19294901,2005,26126,creature|death|party|rescue|werewolf,325,35000000,Comedy|Horror
Premium Rush ,248,91,192,23000,1000,346,20275446,2012,95274,chase|courier|delivery|envelope|police,178,35000000,Action|Crime|Thriller
Hot Pursuit ,155,87,98,472,328,253,34507079,2015,34948,danger|drug cartel|female cop|female police officer|fugitive,118,35000000,Action|Comedy|Crime
The Four Feathers ,105,125,159,3000,61,39,18306166,2002,28130,male nudity|naked dead man|nudity|sex|whipping,215,35000000,Adventure|Drama|Romance|War
Parker ,224,118,138,26000,968,458,17609982,2013,90046,action hero|disguise|hospital|real estate agent|thief,141,35000000,Action|Crime|Romance|Thriller
Wimbledon ,129,98,12,4000,4000,663,16831505,2004,51842,career|player|tennis|tennis player|wimbledon,173,31000000,Comedy|Romance|Sport
Furry Vengeance ,101,92,16,3000,1000,734,17596256,2010,12399,animal|bear|land developer|real estate|real estate developer,84,35000000,Comedy|Family
Bait ,145,93,0,465,351,174,,2012,11482,great white shark|shark|supermarket|swimming|tsunami,82,30000000,Action|Horror|Sci-Fi
Krull ,57,116,170,14000,192,136,,1983,23351,cyclops|fortress|monster|planet|rescue,178,27000000,Action|Adventure|Fantasy
Lions for Lambs ,227,92,0,11000,10000,10000,14998070,2007,41170,afghanistan|professor|reporter|student|university,298,35000000,Drama|Thriller|War
Flight of the Intruder ,13,115,468,605,367,150,14587732,1991,4795,bombardier|pilot|u.s. navy|vietnam|vietnam war,39,35000000,Action|Drama|Thriller|War
Walk Hard: The Dewey Cox Story ,171,120,52,553,214,134,18317151,2007,55630,drugs|elvis|musician|singer|the beatles,200,35000000,Comedy|Music
The Shipping News ,119,111,529,18000,826,505,11405825,2001,28542,employee employer relationship|husband wife relationship|newspaper|ship|wake,208,35000000,Drama
American Outlaws ,44,94,10,694,605,141,13264986,2001,12077,legend|old west|outlaw|railroad|stealing from the rich,162,35000000,Action|Western
The Young Victoria ,188,100,212,2000,1000,919,10991381,2009,44931,19th century|courtship|female protagonist|princess|queen of england,100,35000000,Biography|Drama|History|Romance
Whiteout ,166,101,57,1000,603,230,10268846,2009,31918,antarctica|geologist|investigation|u.s. marshal|winter,142,35000000,Action|Crime|Mystery|Thriller
The Tree of Life ,584,139,0,11000,1000,687,13303319,2011,136367,1950s|children|ice cube|texas|waco texas,975,32000000,Drama|Fantasy
Knock Off ,67,91,85,635,316,105,10076136,1998,11512,cia|hong kong|market|undercover|van,141,35000000,Action|Comedy|Thriller
Sabotage ,233,109,453,1000,206,120,10499968,2014,47498,dea|drug cartel|kicked in the crotch|strip club|tough girl,212,35000000,Action|Crime|Drama|Thriller
The Order ,112,102,241,13000,891,127,7659747,2003,14962,death|exorcism|heaven|priest|sin eater,204,38000000,Action|Mystery|Thriller
Punisher: War Zone ,151,103,189,3000,967,766,7948159,2008,48999,gun fu|plastic surgery|psychopath|undercover|vigilante,280,35000000,Action|Crime|Drama|Thriller
Zoom ,63,83,12,2000,826,690,11631245,2006,15015,bruise|female hero|super strength|superhero|teenage superhero,113,35000000,Action|Adventure|Family|Sci-Fi
The Walk ,335,123,0,23000,22,6,10137502,2015,77394,1970s|based on true story|new york city|skyscraper|tightrope walker,195,35000000,Adventure|Biography|Drama|Thriller
Warriors of Virtue ,24,101,31,690,457,448,6448817,1997,2189,anthropomorphic animal|football|kangaroo|sword and sorcery|water boy,31,35000000,Action|Adventure|Fantasy
A Good Year ,147,117,0,883,883,567,7458269,2006,70698,based on novel|inheritance|provence|uncle|wine,196,35000000,Comedy|Drama|Romance
Luther             ,51,60,,2000,729,256,,,70568,murder|police|psychopath,105,,Crime|Drama|Mystery|Thriller
Radio Flyer ,10,114,503,2000,864,697,4651977,1992,10410,father son relationship|physical abuse|radio flyer|stepfather|stepfather stepson relationship,71,35000000,Drama
"Blood In, Blood Out ",12,330,138,848,674,672,4496583,1993,23181,1970s|1980s|barrio|gang war|mexican,129,35000000,Crime|Drama
Smilla's Sense of Snow ,50,121,55,1000,1000,918,2221994,1997,11747,boy|greenland|neighbor|roof|snow,99,35000000,Action|Drama|Sci-Fi|Thriller
Femme Fatale ,149,114,0,548,298,115,6592103,2002,28584,ambassador|cannes|identity|suicide|thief,232,35000000,Crime|Drama|Mystery|Thriller
Lion of the Desert ,24,156,278,695,279,249,,1980,9852,arab|general|libya|muslim|mussolini,55,35000000,Biography|Drama|History|War
The Horseman on the Roof ,28,135,22,837,541,45,1877179,1995,4885,austrian|breasts|cholera|police|provence,25,,Adventure|Drama|Romance|War
Ride with the Devil ,95,148,0,3,2,0,630779,1999,11101,bushwhacker|friend|honor|kansas|raid,159,35000000,Drama|Romance|War|Western
Biutiful ,288,148,0,30,9,7,5100937,2010,68885,children|chinese|illegal immigrant|immigrant|male ponytail,127,,Drama
The Lovers ,10,109,596,621,525,282,,2015,2138,1770s|british india|great barrier reef|india|ring,15,,Action|Adventure|Romance|Sci-Fi
Bandidas ,58,93,18,4000,820,324,,2006,28848,bank|cleavage|farmer|female gunfighter|mexico,76,32000000,Action|Comedy|Crime|Western
Black Water Transit ,,,194,970,856,816,,2009,219,based on novel,,23000000,Crime|Drama
The Maze Runner ,297,113,47,988,149,129,102413606,2014,310903,based on novel|concrete wall|maze|open ended|teenage boy,524,34000000,Action|Mystery|Sci-Fi|Thriller
Unfinished Business ,90,91,31,1000,249,141,10214013,2015,23072,business trip|company|glory hole|male frontal nudity|male nudity,89,35000000,Comedy
The Age of Innocence ,56,139,17000,554,382,94,32000000,1993,36267,19th century|countess|lawyer|love|new york,150,30000000,Drama|Romance
The Fountain ,274,96,0,20000,1000,1000,10139254,2006,190990,eternity|love|mayan|tree|tree of life,915,35000000,Drama|Sci-Fi
Chill Factor ,68,102,3,372,248,239,11227940,1999,8367,colonel|ice|ice cream truck|military|u.s. army,94,34000000,Action|Adventure|Comedy|Drama|Thriller
Stolen ,98,96,165,12000,774,566,183125,2012,36914,bank|money|presumed dead|rescue|thief,86,35000000,Action|Crime|Drama|Thriller
Ponyo ,256,101,6000,6,3,2,15081783,2008,85589,children adventure|magical realism|sea goddess|small town|tsunami,144,34000000,Adventure|Animation|Family|Fantasy
The Longest Ride ,117,128,88,989,970,954,37432299,2015,50041,1940s|art collector|bull riding|north carolina|student,116,34000000,Drama|Romance
The Astronaut's Wife ,107,109,7,40000,9000,1000,10654581,1999,45497,astronaut|electrocuted in bathtub|mission|pilot|sister,260,34000000,Drama|Sci-Fi|Thriller
I Dreamed of Africa ,52,114,46,818,649,292,6543194,2000,3740,dream|italian|kenya|ranch|snake,61,34000000,Adventure|Drama|Romance
Playing for Keeps ,135,105,125,18000,2000,2000,13101142,2012,23916,coach|soccer|soccer coach|soccer mom|soccer team,50,35000000,Comedy|Romance|Sport
Mandela: Long Walk to Freedom ,211,141,56,113,98,38,8324748,2013,21223,africa|apartheid|nelson mandela|president|resistance,108,35000000,Biography|Drama|History
Reds ,57,195,631,635,631,521,,1981,16255,cold war|cold war era|interview|russia|written and directed by cast member,127,35000000,Biography|Drama|History|Romance
A Few Good Men ,81,138,0,10000,2000,574,141340178,1992,181879,cuba|guantanamo|lance corporal|lawyer|murder,319,40000000,Drama|Thriller
Exit Wounds ,107,101,43,2000,1000,655,51758599,2001,27580,corrupt cop|drug dealer|drugs|heroin|vice president,232,33000000,Action|Comedy|Crime|Drama|Thriller
Big Momma's House ,100,99,67,826,436,330,117559438,2000,66941,disguise|fbi|female impersonation|gender disguise|obesity,148,30000000,Action|Comedy|Crime
Thunder and the House of Magic ,60,85,0,324,15,11,4091,2013,4265,,16,34000000,Adventure|Animation|Comedy|Family|Fantasy
The Darkest Hour ,195,89,21,614,150,48,21426805,2011,49312,alien|aurora borealis|critically bashed|killing an animal|nightclub,211,30000000,Action|Adventure|Horror|Sci-Fi|Thriller
Step Up Revolution ,121,99,35,3000,594,433,35057332,2012,45394,3 dimensional|dance|dancer|dancing|flash mob,72,33000000,Drama|Music|Romance
Snakes on a Plane ,285,105,160,852,521,491,34014398,2006,115649,baby rattle|famous line|murder|passenger|snake,1033,33000000,Action|Adventure|Crime|Drama|Thriller
The Watcher ,103,97,10,18000,223,178,28927720,2000,22220,fbi|murder|scene of the crime|serial killer|therapy,181,33000000,Crime|Horror|Mystery|Thriller
The Punisher ,192,140,36,669,403,336,33682273,2004,124242,death|family reunion|fbi|fbi agent|vigilante,622,33000000,Action|Crime|Drama|Thriller
Goal! The Dream Begins ,90,118,41,722,580,577,4280577,2005,50919,barrio|border|newcastle united|party|soccer,114,10000000,Drama|Romance|Sport
Safe ,258,94,132,26000,828,317,17120019,2012,83097,bodyguard|gang war|russian|russian mafia|triad,134,30000000,Action|Crime|Thriller
Pushing Tin ,56,124,179,11000,617,551,8406264,1999,24826,air traffic control|air traffic controller|female bodybuilder|job|marriage,175,38000000,Comedy|Drama|Romance
Star Wars: Episode VI - Return of the Jedi ,197,134,37,11000,1000,504,309125409,1983,681857,death star|emperor|empire|princess|rebel,647,32500000,Action|Adventure|Fantasy|Sci-Fi
Doomsday ,254,113,197,165,107,43,10955425,2008,62770,cure|quarantine|scotland|virus|wall,396,30000000,Action|Sci-Fi|Thriller
The Reader ,299,124,335,14000,388,50,34180954,2008,189812,love|reading|teaching oneself to read|trial|war crime,370,32000000,Drama|Romance
Wanderlust ,163,98,136,1000,945,833,17225675,2012,62198,childbirth|female frontal nudity|nude protest|nudist|skinny dipping,139,,Comedy
Elf ,152,97,4000,22000,11000,8000,173381405,2003,147597,baby|christmas spirit|elf|new york city|north pole,395,33000000,Comedy|Family|Fantasy|Romance
Phenomenon ,53,123,226,3000,941,796,104632573,1996,63839,brain tumor|genius|psionic power|telekinesis|terminal illness,118,32000000,Drama|Fantasy|Romance|Sci-Fi
Snow Dogs ,67,99,32,773,664,521,81150692,2002,20219,dentist|dog|inheritance|race|sled dog,100,35000000,Adventure|Comedy|Family|Sport
Scrooged ,88,101,503,13000,1000,1000,60328558,1988,61396,christmas|compassion|executive|ghost|redemption,159,32000000,Comedy|Drama|Fantasy
Nacho Libre ,163,92,100,678,635,327,80197993,2006,65551,lucha libre|monastery|nun|orphan|wrestling,441,32000000,Comedy|Family|Sport
Bridesmaids ,371,131,176,722,655,460,169076745,2011,218711,best friend|failure|food|job|partial female nudity,485,32500000,Comedy|Romance
This Is the End ,418,107,133,17000,11000,9000,101470202,2013,310540,apocalypse|celebrity|ensemble cast|party|rapture,669,32000000,Comedy|Fantasy
Stigmata ,131,103,9,826,724,573,50041732,1999,54390,catholic|priest|stigmata|vatican|wound,398,29000000,Horror
Men of Honor ,98,129,88,22000,9000,975,48814909,2000,89424,african american|amputee|navy|racial discrimination|racism,224,32000000,Biography|Drama
Takers ,119,107,34,23000,4000,1000,57744720,2010,46961,armored car|bank|falling out among thieves|heist|planning,132,20000000,Action|Crime|Thriller
The Big Wedding ,133,89,16,49000,22000,2000,21784432,2013,37493,adoption|divorce|family relationships|farce|wedding,108,35000000,Comedy
"Big Mommas: Like Father, Like Son ",88,113,14,918,845,534,37911876,2011,19671,fbi agent|murder|performing arts school|scene during end credits|undercover,47,32000000,Action|Comedy|Crime
Source Code ,522,93,0,15000,491,355,54696902,2011,379462,bomber|time|time loop|train|trapped in a time loop,571,32000000,Mystery|Sci-Fi|Thriller
Alive ,43,120,155,344,242,240,36733909,1993,38949,andes mountains|crash|death|starvation|stranded,112,32000000,Adventure|Biography|Drama|Thriller
The Number 23 ,224,98,541,8000,912,897,35063732,2007,164608,destiny|detective|imagination|murder|sex scene,383,32000000,Mystery|Thriller
The Young and Prodigious T.S. Spivet ,122,105,0,716,648,223,99462,2013,11347,3 dimensional|cartographer|punctuation in title|smithsonian|train,28,33000000,Action|Adventure|Drama|Family
1941 ,56,142,14000,16000,1000,642,,1979,25193,california|captain|cult film|pearl harbor|submarine,217,35000000,Action|Comedy|War
Dreamer: Inspired by a True Story ,75,98,61,649,579,83,32701088,2005,10018,colon in title|horse|kentucky|overalls|six word title,108,32000000,Drama|Family|Sport
